total_time,best_acc,epochs,block_size
86.98616600036621,35.25,2,4096
122.39381504058838,33.69,2,8192
117.80844712257385,29.81,2,16384
179.17868614196777,30.4,2,32768
200.85996389389038,30.25,2,65536
