total_time,best_acc,epochs,mode,batch_size
698.0433058738708,64.84,3,plaintext,32
86.43539619445801,29.0,2,oram,32
677.4729042053223,56.48,3,plaintext,64
54.85047221183777,18.18,2,oram,64
451.38328981399536,57.41,3,plaintext,128
52.27605319023132,22.71,2,oram,128
415.9891290664673,68.49,3,plaintext,256
51.53286075592041,18.67,2,oram,256
440.7568328380585,49.74,3,plaintext,512
51.76200008392334,9.74,2,oram,512
